Location,Zip Code,Gender,Language,Product Name,Payment Method,Clickstream Data,Search Query,Bounce Rate,Survey Response,Device Type,Browser Type,Operating System,COGS,Revenue Trend,Expense Breakdown,Region-wise Revenue Contribution,Customer ID,Transaction Date,Previous Category,Labor Cost,Raw Material Cost,Shipping Cost,Awareness Stage,Consideration Stage,Intent Stage,Return Requests,Out of Stock Occurrences,Defective Complaints,Churn Reason,Product Price,Chargebacks,Number of Chargebacks,Order Shipment Time,Placement Time,Delivery Time,Delivery Delays,Reason for Delivery Delays,Return Due to Delivery Issues,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Store_Location_City,Store_Location_Country,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,In_Store_Advertising_Effectiveness,Product_Issue_Reported,Campaign_Exposure,Return_Flag,Purchase_Frequency,Product_Views,Wishlist_Adds,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Order_Fulfillment_Time,Ad_Clicks,Coupon_Code_Usage,Product_Bundling_Preferences,Churn_Risk,Repeat_Purchase_Decline,Discounted,Return_Rate,Defective_Flag
London,16291,Other,Chinese,Clorets,Cash on Delivery,Home > Candy > Clorets,Clorets,1.0,Negative,Tablet,Edge,Windows,10.2128205128205,16.0487179487179,6.85413005272407,2.91794871794871,5199,2023-11-01,Dairy Milk,99.13301913575192,245.9169298780461,87.99075434976518,4,7,8,0,0,0,No Need,270.0,0,0,00:07:00,00:01:00,00:10:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,46002,Female,Spanish,Dairy Milk,UPI,Home > Chocolate > Dairy Milk,Dairy Milk,0.0,Positive,Tablet,Safari,iOS,26.4215686274509,41.5196078431372,2.64935064935065,7.54901960784313,4854,2022-07-01,Mirinda,275.2304424943082,387.7359647701688,68.09793475067502,7,7,4,1,4,2,Price,102.0,0,0,00:03:00,00:00:00,00:05:00,No,Shipping carrier issue,No,Yes,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,79663,Male,Spanish,Oreo,PayPal,Home > Biscuits > Oreo,Snacks,0.0,Positive,Tablet,Edge,Android,27.95,43.9214285714285,2.50447227191413,7.98571428571428,8263,2022-08-01,Trident,357.0099626446021,800.092157792438,26.73023137312045,5,4,1,0,2,0,Other,470.0,0,0,00:03:00,00:03:00,00:04:00,Yes,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,28538,Other,French,Schweppes,Credit Card,Home > Beverages > Schweppes,Schweppes,0.0,Positive,Desktop,Chrome,Windows,14.0274509803921,22.0431372549019,4.99021526418786,4.0078431372549,2914,2023-12-01,BelVita,160.5474051150744,294.0570024661974,59.47415232776468,1,5,4,8,4,2,Quality,328.0,0,0,00:05:00,00:03:00,00:05:00,No,Shipping carrier issue,No,Yes,Insufficient funds,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,69887,Other,English,Oreo,PayPal,Home > Biscuits > Oreo,Snacks,0.0,Negative,Mobile,Edge,iOS,123.9,194.7,0.564971751412429,35.4,8365,2023-11-01,Bournville,486.1005243213383,952.4018958907968,44.41461961318931,5,3,9,8,1,0,Price,402.0,0,0,00:04:00,00:03:00,00:04:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,49977,Female,Hindi,BelVita,PayPal,Home > Biscuits > BelVita,Snacks,1.0,Positive,Desktop,Firefox,iOS,38.478125,60.465625,1.81921546333143,10.99375,4072,2023-08-01,TUC,207.0597779725527,543.6296015442524,12.43352034713152,4,5,1,6,0,2,No Need,441.0,0,0,00:03:00,00:00:00,00:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,33334,Other,French,Dairy Milk,UPI,Home > Chocolate > Dairy Milk,Dairy Milk,1.0,Neutral,Desktop,Edge,iOS,9.254,14.542,7.5642965204236,2.644,1406,2022-12-01,TUC,469.5600251970515,196.2280417912856,27.6852575865735,1,5,3,9,1,0,Quality,125.0,0,0,00:06:00,00:01:00,00:08:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,95947,Male,Hindi,Stride,UPI,Home > Gum > Stride,Stride,0.0,Positive,Tablet,Edge,Android,31.7930232558139,49.960465116279,2.20174091141833,9.08372093023256,1166,2022-05-01,Clorets,318.8099436488489,948.7550907921328,28.50203400115265,2,4,8,2,2,0,Price,225.0,0,0,00:05:00,00:01:00,00:08:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,24504,Other,Hindi,Sour Patch,PayPal,Home > Candy > Sour Patch,Sour Patch,1.0,Positive,Desktop,Firefox,MacOS,14.02,22.0314285714285,4.99286733238231,4.00571428571428,1508,2021-07-01,Trident,51.83574470322117,511.0104388547553,17.41028327608694,9,6,3,4,1,2,Quality,59.0,0,0,00:02:00,00:00:00,00:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
London,11773,Female,Spanish,Mirinda,UPI,Home > Beverages > Mirinda,Snacks,0.0,Neutral,Tablet,Firefox,Windows,71.2599999999999,111.98,0.982318271119842,20.36,2661,2021-01-01,Bournville,190.0004621448325,601.2686731899194,50.79876385700793,1,5,2,3,1,1,Price,166.0,0,0,00:04:00,00:01:00,00:06:00,Yes,Weather,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,78864,Other,English,Dentyne,Credit Card,Home > Gum > Dentyne,Snacks,1.0,Neutral,Tablet,Chrome,MacOS,42.9153846153846,67.4384615384615,1.63111668757841,12.2615384615384,4664,2023-11-01,Sour Patch,59.69689012488193,266.6752971152659,55.72315821734873,4,8,1,6,1,1,Price,329.0,0,0,00:06:00,00:00:00,00:09:00,Yes,High demand,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,63837,Other,French,TUC,PayPal,Home > Biscuits > TUC,TUC,0.0,Positive,Desktop,Safari,Android,54.4,85.4857142857143,1.28676470588235,15.5428571428571,4489,2023-08-01,BelVita,221.6640785208113,399.9780890905485,40.60106354443835,8,2,9,8,3,0,No Need,267.0,0,0,00:06:00,00:01:00,00:08:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,34588,Other,Spanish,BelVita,Cash on Delivery,Home > Biscuits > BelVita,BelVita,1.0,Negative,Tablet,Safari,Windows,21.2081081081081,33.327027027027,3.30062444246208,6.05945945945946,1680,2023-12-01,BelVita,469.6403141570302,733.274231860913,47.11233030861312,5,6,3,1,2,2,Other,224.0,1,3,00:02:00,00:02:00,00:03:00,No,Shipping carrier issue,No,Yes,Fraud detection,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,14553,Male,English,Dairy Milk,UPI,Home > Chocolate > Dairy Milk,Dairy Milk,0.0,Positive,Mobile,Safari,MacOS,20.0529411764705,31.5117647058823,3.49075975359342,5.72941176470588,3524,2022-01-01,BelVita,400.5576591631043,211.572455960942,59.45429732029987,7,2,7,7,1,1,No Need,283.0,0,0,00:04:00,00:02:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,32386,Female,French,BelVita,PayPal,Home > Biscuits > BelVita,BelVita,1.0,Negative,Mobile,Edge,Android,28.4170212765957,44.6553191489361,2.46331236897274,8.11914893617021,3120,2021-06-01,Clorets,329.0594588603004,613.4129644084654,20.84351367138354,2,6,3,8,1,2,Price,486.0,0,0,00:05:00,00:03:00,00:07:00,Yes,Inventory issues,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,81127,Other,Spanish,Trident,UPI,Home > Gum > Trident,Trident,1.0,Neutral,Tablet,Edge,iOS,122.99,193.27,0.569151963574274,35.14,6260,2022-02-01, Star,292.3484197686736,724.1704895837331,60.60531767194838,4,4,8,9,1,1,Quality,301.0,0,0,00:01:00,00:02:00,00:02:00,Yes,Address issues,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,91830,Male,Hindi, Star,UPI,Home > Chocolate > 5 Star,Snacks,0.0,Negative,Desktop,Safari,Android,19.6482758620689,30.8758620689655,3.56265356265356,5.61379310344827,5357,2022-03-01,Halls,217.6618654349192,101.6529762329366,73.8932490979132,4,1,9,9,0,2,No Need,344.0,0,0,00:04:00,00:02:00,00:04:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,27067,Other,Hindi,Stride,PayPal,Home > Gum > Stride,Stride,0.0,Negative,Tablet,Edge,MacOS,49.1,77.1571428571428,1.42566191446028,14.0285714285714,2363,2021-04-01,Schweppes,145.1928664088291,853.8187880675398,88.72857954754176,1,6,8,8,3,0,Other,371.0,0,0,00:02:00,00:02:00,00:03:00,Yes,High demand,Yes,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
NewYork,95477,Female,French,Trident,UPI,Home > Gum > Trident,Trident,1.0,Positive,Desktop,Chrome,Windows,8.63999999999999,13.5771428571428,8.10185185185185,2.46857142857142,3292,2022-04-01,Dairy Milk,78.13621301609683,150.6999663320238,37.14163370126569,8,3,5,9,0,2,Price,55.0,0,0,00:06:00,00:00:00,00:06:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,98358,Female,Hindi,Clorets,UPI,Home > Candy > Clorets,Clorets,1.0,Positive,Tablet,Chrome,Android,23.1954545454545,36.45,3.01783264746227,6.62727272727272,2538,2023-04-01,Tang,135.5660000262017,322.2281720832088,77.26685157548017,3,7,2,6,3,1,No Need,70.0,0,0,00:05:00,00:02:00,00:07:00,Yes,Weather,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,11493,Other,Chinese, Star,Credit Card,Home > Chocolate > 5 Star,5 Star,1.0,Neutral,Desktop,Safari,Windows,15.5235294117647,24.3941176470588,4.50928381962864,4.43529411764705,4408,2022-04-01,Halls,208.1840372288351,967.1904084607452,64.5418759254434,4,3,6,8,1,0,No Need,122.0,0,0,00:04:00,00:02:00,00:07:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Mumbai,55334,Other,Spanish,BelVita,UPI,Home > Biscuits > BelVita,BelVita,1.0,Negative,Mobile,Chrome,MacOS,18.9368421052631,29.7578947368421,3.6964980544747,5.41052631578947,8742,2021-04-01,Halls,283.9960024833053,172.9367167101373,55.25191286763247,2,4,8,8,2,2,No Need,379.0,0,0,00:01:00,00:03:00,00:04:00,Yes,Address issues,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,62525,Other,Chinese,Mirinda,UPI,Home > Beverages > Mirinda,Mirinda,0.0,Negative,Tablet,Edge,iOS,24.10625,37.88125,2.9038112522686,6.8875,9752,2023-02-01,BelVita,141.9817530505356,843.3465035468201,92.7599991395706,5,9,2,2,4,1,No Need,85.0,0,0,00:01:00,00:02:00,00:03:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,14419,Male,Hindi,Schweppes,Cash on Delivery,Home > Beverages > Schweppes,Schweppes,1.0,Negative,Tablet,Safari,Android,19.1258064516129,30.0548387096774,3.65997638724911,5.46451612903225,2903,2023-04-01,TUC,488.4478657557835,686.7984606849235,65.80060557538135,5,7,6,3,4,0,Quality,436.0,0,0,00:03:00,00:02:00,00:06:00,Yes,High demand,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Toronto,30154,Female,French,Schweppes,PayPal,Home > Beverages > Schweppes,Snacks,0.0,Negative,Desktop,Safari,iOS,14.5743589743589,22.902564102564,4.80295566502463,4.16410256410256,1174,2023-08-01,Stride,84.58256601783074,638.5407609924972,42.94624797989143,3,4,7,1,1,2,Other,282.0,0,0,00:03:00,00:01:00,00:06:00,No,Shipping carrier issue,No,Yes,Fraud detection,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
Sydney,25174,Female,French,Dairy Milk,UPI,Home > Chocolate > Dairy Milk,Snacks,1.0,Positive,Mobile,Edge,Windows,21.503125,33.790625,3.25534079348931,6.14375,3230,2021-02-01,Oreo,92.65631162227731,623.5141970732736,74.1639635231763,8,2,9,9,0,1,Other,265.0,0,0,00:07:00,00:03:00,00:07:00,Yes,Shipping carrier issue,No,Yes,Payment gateway issues,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
London,27166,Male,Hindi,Dairy Milk,Credit Card,Home > Chocolate > Dairy Milk,Dairy Milk,0.0,Negative,Mobile,Edge,Windows,86.23125,135.50625,0.811770674784373,24.6375,5287,2023-07-01,Trident,357.1710628641461,249.812738541912,96.38892878736472,1,5,9,2,2,2,Price,255.0,0,0,00:02:00,00:03:00,00:04:00,No,Shipping carrier issue,No,No,Credit card expired,Own Website Data,Generic Retailer,New York,India,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Medium,0,Yes,0,5,50,1,Mumbai,Australia,Standard,0.5152899999999999,00:05:24,9,2,Candy & Gum,Low,49.00095999999999,True,15.66809,1
