Location,Product Name,Purchase History,Payment Method,Search Query,Survey Response,Device Type,Browser Type,Operating System,IP Address,Referral Source,Net Profit,Operating Expenses,Revenue Trend,Expense Breakdown,Gross vs Net Profit,Region-wise Revenue Contribution,Previous Category,Labor Cost,Raw Material Cost,Shipping Cost,Income Group,First Interaction Date,Awareness Stage,Consideration Stage,Intent Stage,Out of Stock Occurrences,Last Purchase Date,Product Price,#Fraud Flag,Average Resolution Time,Average Response Time,Ticket Resolution Time,Order Shipment Time,Placement Time,Delivery Time,Payment & Transaction Failures,Reasons for Payment Failure,source,Retailer_Name,Category,Seasonal_Trend,Stock_Availability,Shelf_Space_Allocation,Repeat_Purchase_Rate,Basket_Size,Cross_Purchased_Products,Brand_Substitution_Rate,Category_Share_in_Retailer_Sales,Competitor_Promotion_Impact,Retail_Foot_Traffic,Customer Segment,In_Store_Advertising_Effectiveness,Customer Segment Type,Region,Order_ID,Purchase_Frequency,Product_Views,Delivery_Location_City,Delivery_Location_Country,Shipping_Method,Return_Refund_Rate,Product_Bundling_Preferences,Discounted,Return_Rate,Channel,Churn_Risk
London,Clorets,Clorets (4 times),Cash on Delivery,Clorets,Negative,Tablet,Edge,Windows,211.29.168.144,Google,-45.6230769230769,100.0,16.0487179487179,6.85413005272407,50.0,2.91794871794871,Dairy Milk,99.13301913575192,245.9169298780461,87.99075434976518,Low,2023-10-30,4,7,8,0,2024-07-31,270.0,0,00:05:00,00:02:00,00:04:00,00:07:00,00:01:00,00:10:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Dairy Milk,Dairy Milk (6 times),UPI,Dairy Milk,Positive,Tablet,Safari,iOS,122.197.253.253,Facebook,-38.6764705882353,100.0,41.5196078431372,2.64935064935065,50.0,7.54901960784313,Mirinda,275.2304424943082,387.7359647701688,68.09793475067502,High,2022-06-22,7,7,4,4,2025-01-09,102.0,0,00:03:00,00:01:00,00:05:00,00:03:00,00:00:00,00:05:00,Yes,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Oreo,Oreo (7 times),PayPal,Snacks,Positive,Tablet,Edge,Android,11.250.11.165,Direct,-38.0214285714285,100.0,43.9214285714285,2.50447227191413,50.0,7.98571428571428,Trident,357.0099626446021,800.092157792438,26.73023137312045,Low,2022-07-09,5,4,1,2,2024-05-08,470.0,0,00:02:00,00:01:00,00:02:00,00:03:00,00:03:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Schweppes,Schweppes (10 times),Credit Card,Schweppes,Positive,Desktop,Chrome,Windows,251.102.250.156,Instagram,-43.9882352941176,100.0,22.0431372549019,4.99021526418786,50.0,4.0078431372549,BelVita,160.5474051150744,294.0570024661974,59.47415232776468,High,2023-11-07,1,5,4,4,2025-01-25,328.0,0,00:03:00,00:02:00,00:05:00,00:05:00,00:03:00,00:05:00,Yes,Insufficient funds,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Oreo,Oreo (7 times),PayPal,Snacks,Negative,Mobile,Edge,iOS,165.159.108.21,EmailCampaign,3.1,100.0,194.7,0.564971751412429,50.0,35.4,Bournville,486.1005243213383,952.4018958907968,44.41461961318931,Low,2023-10-16,5,3,9,1,2024-12-26,402.0,0,00:02:00,00:01:00,00:03:00,00:04:00,00:03:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,BelVita,BelVita (5 times),PayPal,Snacks,Positive,Desktop,Firefox,iOS,74.18.223.210,Google,-33.509375,100.0,60.465625,1.81921546333143,50.0,10.99375,TUC,207.0597779725527,543.6296015442524,12.43352034713152,Medium,2023-07-15,4,5,1,0,2024-06-12,441.0,0,00:05:00,00:01:00,00:05:00,00:03:00,00:00:00,00:03:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Dairy Milk,Dairy Milk (4 times),UPI,Dairy Milk,Neutral,Desktop,Edge,iOS,83.18.235.22,Facebook,-46.034,100.0,14.542,7.5642965204236,50.0,2.644,TUC,469.5600251970515,196.2280417912856,27.6852575865735,Medium,2022-11-21,1,5,3,1,2024-10-21,125.0,0,00:04:00,00:01:00,00:04:00,00:06:00,00:01:00,00:08:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Stride,Stride (6 times),UPI,Stride,Positive,Tablet,Edge,Android,196.9.193.195,Instagram,-36.3744186046511,100.0,49.960465116279,2.20174091141833,50.0,9.08372093023256,Clorets,318.8099436488489,948.7550907921328,28.50203400115265,Medium,2022-04-09,2,4,8,2,2024-11-06,225.0,0,00:05:00,00:02:00,00:03:00,00:05:00,00:01:00,00:08:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Sour Patch,Sour Patch (5 times),PayPal,Sour Patch,Positive,Desktop,Firefox,MacOS,246.154.166.48,EmailCampaign,-43.9914285714285,100.0,22.0314285714285,4.99286733238231,50.0,4.00571428571428,Trident,51.83574470322117,511.0104388547553,17.41028327608694,High,2021-06-30,9,6,3,1,2024-10-13,59.0,0,00:01:00,00:02:00,00:02:00,00:02:00,00:00:00,00:03:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
London,Mirinda,Mirinda (8 times),UPI,Snacks,Neutral,Tablet,Firefox,Windows,223.149.124.13,Google,-19.46,100.0,111.98,0.982318271119842,50.0,20.36,Bournville,190.0004621448325,601.2686731899194,50.79876385700793,High,2020-12-11,1,5,2,1,2024-09-15,166.0,0,00:05:00,00:01:00,00:02:00,00:04:00,00:01:00,00:06:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Dentyne,Dentyne (9 times),Credit Card,Snacks,Neutral,Tablet,Chrome,MacOS,237.4.177.250,Direct,-31.6076923076923,100.0,67.4384615384615,1.63111668757841,50.0,12.2615384615384,Sour Patch,59.69689012488193,266.6752971152659,55.72315821734873,Medium,2023-10-14,4,8,1,1,2024-07-04,329.0,0,00:02:00,00:02:00,00:04:00,00:06:00,00:00:00,00:09:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,TUC,TUC (5 times),PayPal,TUC,Positive,Desktop,Safari,Android,16.240.234.37,Facebook,-26.6857142857142,100.0,85.4857142857143,1.28676470588235,50.0,15.5428571428571,BelVita,221.6640785208113,399.9780890905485,40.60106354443835,Medium,2023-07-17,8,2,9,3,2024-11-21,267.0,0,00:03:00,00:02:00,00:01:00,00:06:00,00:01:00,00:08:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,BelVita,BelVita (6 times),Cash on Delivery,BelVita,Negative,Tablet,Safari,Windows,91.215.92.151,Google,-40.9108108108108,100.0,33.327027027027,3.30062444246208,50.0,6.05945945945946,BelVita,469.6403141570302,733.274231860913,47.11233030861312,Low,2023-11-22,5,6,3,2,2025-01-29,224.0,0,00:04:00,00:02:00,00:01:00,00:02:00,00:02:00,00:03:00,Yes,Fraud detection,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Dairy Milk,Dairy Milk (4 times),UPI,Dairy Milk,Positive,Mobile,Safari,MacOS,196.238.159.76,Instagram,-41.4058823529411,100.0,31.5117647058823,3.49075975359342,50.0,5.72941176470588,BelVita,400.5576591631043,211.572455960942,59.45429732029987,Medium,2021-12-29,7,2,7,1,2024-05-06,283.0,0,00:05:00,00:01:00,00:02:00,00:04:00,00:02:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,BelVita,BelVita (3 times),PayPal,BelVita,Negative,Mobile,Edge,Android,217.44.194.70,Direct,-37.8212765957446,100.0,44.6553191489361,2.46331236897274,50.0,8.11914893617021,Clorets,329.0594588603004,613.4129644084654,20.84351367138354,Medium,2021-05-16,2,6,3,1,2024-11-02,486.0,0,00:05:00,00:02:00,00:04:00,00:05:00,00:03:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Trident,Trident (7 times),UPI,Trident,Neutral,Tablet,Edge,iOS,246.202.229.121,Direct,2.70999999999999,100.0,193.27,0.569151963574274,50.0,35.14, Star,292.3484197686736,724.1704895837331,60.60531767194838,Medium,2022-01-06,4,4,8,1,2025-01-02,301.0,0,00:03:00,00:01:00,00:01:00,00:01:00,00:02:00,00:02:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney, Star,5 Star (2 times),UPI,Snacks,Negative,Desktop,Safari,Android,68.18.213.183,Instagram,-41.5793103448275,100.0,30.8758620689655,3.56265356265356,50.0,5.61379310344827,Halls,217.6618654349192,101.6529762329366,73.8932490979132,High,2022-02-06,4,1,9,0,2024-10-14,344.0,0,00:04:00,00:01:00,00:05:00,00:04:00,00:02:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Stride,Stride (5 times),PayPal,Stride,Negative,Tablet,Edge,MacOS,229.211.15.209,Google,-28.9571428571428,100.0,77.1571428571428,1.42566191446028,50.0,14.0285714285714,Schweppes,145.1928664088291,853.8187880675398,88.72857954754176,High,2021-03-17,1,6,8,3,2024-12-09,371.0,0,00:05:00,00:02:00,00:02:00,00:02:00,00:02:00,00:03:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Trident,Trident (7 times),UPI,Trident,Positive,Desktop,Chrome,Windows,254.219.176.144,Google,-46.2971428571428,100.0,13.5771428571428,8.10185185185185,50.0,2.46857142857142,Dairy Milk,78.13621301609683,150.6999663320238,37.14163370126569,Medium,2022-03-30,8,3,5,0,2024-12-29,55.0,0,00:05:00,00:01:00,00:05:00,00:06:00,00:00:00,00:06:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,Clorets,Clorets (8 times),UPI,Clorets,Positive,Tablet,Chrome,Android,161.62.19.189,Instagram,-40.0590909090909,100.0,36.45,3.01783264746227,50.0,6.62727272727272,Tang,135.5660000262017,322.2281720832088,77.26685157548017,Low,2023-03-22,3,7,2,3,2024-09-05,70.0,0,00:02:00,00:02:00,00:04:00,00:05:00,00:02:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai, Star,5 Star (8 times),Credit Card,5 Star,Neutral,Desktop,Safari,Windows,122.29.220.62,Google,-43.3470588235294,100.0,24.3941176470588,4.50928381962864,50.0,4.43529411764705,Halls,208.1840372288351,967.1904084607452,64.5418759254434,Low,2022-03-28,4,3,6,1,2025-01-06,122.0,0,00:02:00,00:02:00,00:05:00,00:04:00,00:02:00,00:07:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Mumbai,BelVita,BelVita (8 times),UPI,BelVita,Negative,Mobile,Chrome,MacOS,23.42.19.94,Direct,-41.8842105263157,100.0,29.7578947368421,3.6964980544747,50.0,5.41052631578947,Halls,283.9960024833053,172.9367167101373,55.25191286763247,Medium,2021-03-06,2,4,8,2,2024-11-07,379.0,0,00:01:00,00:01:00,00:01:00,00:01:00,00:03:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Mirinda,Mirinda (2 times),UPI,Mirinda,Negative,Tablet,Edge,iOS,41.164.248.202,Facebook,-39.66875,100.0,37.88125,2.9038112522686,50.0,6.8875,BelVita,141.9817530505356,843.3465035468201,92.7599991395706,High,2023-01-13,5,9,2,4,2024-09-23,85.0,0,00:03:00,00:01:00,00:01:00,00:01:00,00:02:00,00:03:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Schweppes,Schweppes (3 times),Cash on Delivery,Schweppes,Negative,Tablet,Safari,Android,32.123.239.69,Direct,-41.8032258064516,100.0,30.0548387096774,3.65997638724911,50.0,5.46451612903225,TUC,488.4478657557835,686.7984606849235,65.80060557538135,Medium,2023-03-15,5,7,6,4,2024-09-27,436.0,0,00:04:00,00:02:00,00:03:00,00:03:00,00:02:00,00:06:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Toronto,Schweppes,Schweppes (4 times),PayPal,Snacks,Negative,Desktop,Safari,iOS,64.25.189.136,EmailCampaign,-43.7538461538461,100.0,22.902564102564,4.80295566502463,50.0,4.16410256410256,Stride,84.58256601783074,638.5407609924972,42.94624797989143,Low,2023-07-22,3,4,7,1,2024-07-31,282.0,0,00:05:00,00:02:00,00:02:00,00:03:00,00:01:00,00:06:00,Yes,Fraud detection,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
Sydney,Dairy Milk,Dairy Milk (1 times),UPI,Snacks,Positive,Mobile,Edge,Windows,224.33.241.17,Google,-40.784375,100.0,33.790625,3.25534079348931,50.0,6.14375,Oreo,92.65631162227731,623.5141970732736,74.1639635231763,High,2021-01-10,8,2,9,0,2024-09-06,265.0,0,00:05:00,00:02:00,00:04:00,00:07:00,00:03:00,00:07:00,Yes,Payment gateway issues,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
London,Dairy Milk,Dairy Milk (4 times),Credit Card,Dairy Milk,Negative,Mobile,Edge,Windows,156.238.146.2,Direct,-13.04375,100.0,135.50625,0.811770674784373,50.0,24.6375,Trident,357.1710628641461,249.812738541912,96.38892878736472,High,2023-06-10,1,5,9,2,2024-08-03,255.0,0,00:01:00,00:02:00,00:02:00,00:02:00,00:03:00,00:04:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
NewYork,Dairy Milk,Dairy Milk (8 times),UPI,Dairy Milk,Positive,Tablet,Firefox,Windows,187.149.218.41,Facebook,94.0,100.0,528.0,0.208333333333333,50.0,96.0,Trident,389.7777102337554,701.9398054845037,92.63605400188212,High,2021-02-23,2,8,2,3,2024-10-09,475.0,0,00:05:00,00:01:00,00:05:00,00:04:00,00:03:00,00:05:00,No,Credit card expired,Own Website Data,Generic Retailer,Chocolate,High,In Stock,5,0.49811,5,Bread,0.4942,28.168620000000004,Low,2791,Regular,Medium,Returning,South,ORD10000,5,50,Mumbai,Australia,Standard,0.5152899999999999,Candy & Gum,True,15.66809,Web,Low
